,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
1342,13420.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,6.930542106519514e+142,3.2401681877085523e+171,3.2401681877085523e+171
1343,13430.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.780207156874124e+143,9.636887799465803e+171,9.636887799465803e+171
1344,13440.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,4.5727123112125185e+143,2.8661970946998974e+172,2.8661970946998974e+172
1345,13450.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.1745654319146761e+144,8.524625331968184e+172,8.524625331968184e+172
1346,13460.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.017036410679176e+144,2.5353886927319787e+173,2.5353886927319787e+173
1347,13470.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,7.749682100320078e+144,7.540737068087677e+173,7.540737068087677e+173
1348,13480.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.9906147782453058e+145,2.2427612654831153e+174,2.2427612654831153e+174
1349,13490.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,5.113173861938087e+145,6.670406418542614e+174,6.670406418542614e+174
1350,13500.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.3133905780330257e+146,1.983908072308799e+175,1.983908072308799e+175
1351,13510.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.3736283119699863e+146,5.900526883086007e+175,5.900526883086007e+175
1352,13520.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,8.665638521916728e+146,1.7549309861672588e+176,1.7549309861672588e+176
1353,13530.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.2258910599631935e+147,5.21950467684209e+176,5.21950467684209e+176
1354,13540.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,5.7175140623430714e+147,1.5523817908688947e+177,1.5523817908688947e+177
1355,13550.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.4686238532101068e+148,4.617084136955597e+177,4.617084136955597e+177
1356,13560.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.772366799101162e+148,1.3732102536319538e+178,1.3732102536319538e+178
1357,13570.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,9.689854373436253e+148,4.084193280314201e+178,4.084193280314201e+178
1358,13580.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.488975297968732e+149,1.2147181909576973e+179,1.2147181909576973e+179
