,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s,delta_path_loss,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K),alpha_s low band,alpha_s high band
281,2810.0,138.04423076923075,0.1,0,2.8065968286170686,1.8289975391061848e-05,1.2662037044974635e-15,6.147083895993381e-07,0.999987705907781,1280520.4040142626,27.91414468166098,27.91414468166098,6.147083895993381e-07,4.7250058608696574e-05
282,2820.0,138.1653846153846,0.1,0,2.8066921184503837,1.8352831879213473e-05,1.3215126433773105e-15,6.168095876680581e-07,0.9999876638843371,1280503.1993656785,28.0634621589143,28.0634621589143,6.168095876680581e-07,4.741156890134152e-05
283,2830.0,138.28653846153847,0.1,0,2.806787408233857,1.8415904384861205e-05,1.3791342073060534e-15,6.189195753896183e-07,0.9999876216851041,1280485.936098453,28.21322571718866,28.21322571718866,6.189195753896183e-07,4.7573754817776364e-05
284,2840.0,138.40769230769232,0.1,0,2.806882697967494,1.8479193650390537e-05,1.4391606949838924e-15,6.210359962107814e-07,0.9999875793572126,1280468.6140355533,28.363435843085632,28.363435843085632,6.210359962107814e-07,4.7736435219626416e-05
285,2850.0,138.52884615384616,0.1,0,2.806977987651299,1.8542700420738322e-05,1.5016879096513266e-15,6.231587845857558e-07,0.9999875369019733,1280451.2330017914,28.514092998683328,28.514092998683328,6.231587845857558e-07,4.78996050686613e-05
286,2860.0,138.65,0.1,0,2.807073277285277,1.860642544340161e-05,1.5668152851919008e-15,6.252901272122189e-07,0.999987494275653,1280433.7927610076,28.665198165397893,28.665198165397893,6.252901272122189e-07,4.8063432447170376e-05
287,2870.0,138.77115384615385,0.1,0,2.8071685668694335,1.8670369468446396e-05,1.6346460165152022e-15,6.274276930448446e-07,0.9999874515248719,1280416.2931420794,28.816751751781812,28.816751751781812,6.274276930448446e-07,4.8227738177465264e-05
288,2880.0,138.8923076923077,0.1,0,2.8072638564037717,1.8734533248516304e-05,1.7052871943562862e-15,6.295758911472447e-07,0.9999874085614499,1280398.73385093,28.968754681941867,28.968754681941867,6.295758911472447e-07,4.8392689276774255e-05
289,2890.0,139.01346153846154,0.1,0,2.8073591458882974,1.879891753884172e-05,1.7788499446318592e-15,6.31727927289885e-07,0.9999873655212699,1280381.1147830002,29.12120784913031,29.12120784913031,6.31727927289885e-07,4.855827916819701e-05
290,2900.0,139.1346153846154,0.1,0,2.8074544353230144,1.886352309724839e-05,1.8554495724977114e-15,6.338882044082369e-07,0.9999873223162743,1280363.4357109475,29.274111580663337,29.274111580663337,6.338882044082369e-07,4.8724330619877514e-05
291,2910.0,139.25576923076923,0.1,0,2.8075497247079286,1.8928350684166604e-05,1.935205711256003e-15,6.360544250971374e-07,0.9999872789924108,1280345.6964715242,29.427466180547803,29.427466180547803,6.360544250971374e-07,4.88908389289257e-05
292,2920.0,139.37692307692308,0.1,0,2.8076450140430436,1.899340106263997e-05,2.0182424762656514e-15,6.382309406376109e-07,0.9999872354626547,1280327.8967801481,29.58127299200611,29.58127299200611,6.382309406376109e-07,4.9058138560084376e-05
293,2930.0,139.49807692307692,0.1,0,2.807740303328365,1.9058674998334505e-05,2.1046886240134018e-15,6.40413249329303e-07,0.9999871918170389,1280310.036477807,29.73553226302299,29.73553226302299,6.40413249329303e-07,4.922588348650701e-05
294,2940.0,139.61923076923077,0.1,0,2.807835592563898,1.9124173259547482e-05,2.194677716507698e-15,6.426034830372926e-07,0.9999871480129268,1280292.115346053,29.890244745928843,29.890244745928843,6.426034830372926e-07,4.939423757573085e-05
