,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
368,3680.0,148.58461538461538,0.0,0.042,3.0750637000000003,2.852277455291703e-05,0.0002690181090301656,0.02859967472778948,0.028967493694141137,0.5643991897748569,0.5602624894665499,148.4923841461098,148.4943273160837,148.4943273160837
369,3690.0,148.70576923076922,0.0,0.042,3.07517395,2.8620812697716958e-05,0.00027281047429125954,0.02899405786510626,0.02937457178741737,0.5599649103518636,0.5557195959656596,148.61567823213818,148.61763002349912,148.61763002349912
370,3700.0,148.82692307692307,0.0,0.042,3.0752842000000005,2.871918781807372e-05,0.00027664999545179805,0.029393001517169833,0.02978670120454922,0.555514798472167,0.5511578542090226,148.73893449982813,148.74089528339618,148.74089528339618
371,3710.0,148.9480769230769,0.0,0.042,3.07539445,2.8817901072235614e-05,0.00028053717553804105,0.029796541612593253,0.030203935704260994,0.5510493925188038,0.5465777491337561,148.86215361516523,148.86412375018782,148.86412375018782
372,3720.0,149.06923076923076,0.0,0.042,3.0755047,2.8916953622432298e-05,0.0002844725219742014,0.030204713969681343,0.030626329513867324,0.5465692415487342,0.5419797768750007,148.98533623031545,148.98731606458634,148.98731606458634
373,3730.0,149.19038461538463,0.0,0.042,3.0756149500000007,2.901634663488798e-05,0.0002884565466112567,0.030617554284104342,0.031053937331654333,0.5420749051638617,0.5373644447327496,149.10848298398056,149.11047285394454,149.11047285394454
374,3740.0,149.31153846153848,0.0,0.042,3.0757252000000004,2.9116081279835588e-05,0.00029248976575586296,0.031035098116341437,0.031486814330669126,0.5375669533709085,0.5327322711155353,149.23159450174364,149.2335947325908,149.2335947325908
375,3750.0,149.43269230769232,0.0,0.042,3.07583545,2.9216158731530367e-05,0.000296572700199391,0.03145738087890228,0.03192501616192202,0.5330459664299662,0.5280837854827967,149.3546713964042,149.35668230215316,149.35668230215316
376,3760.0,149.55384615384617,0.0,0.042,3.0759457,2.931658016826351e-05,0.0003007058752470563,0.031884437823328574,0.03236859895650241,0.5285125346916303,0.5234195282906088,149.47771426830425,149.47973615187243,149.47973615187243
377,3770.0,149.675,0.0,0.042,3.07605595,2.9417346772376452e-05,0.0003048898207471693,0.0323163040269844,0.032817619329714824,0.523967258422571,0.5187400509076792,149.600723705645,149.60275685890952,149.60275685890952
378,3780.0,149.79615384615386,0.0,0.042,3.0761662000000007,2.951845973027433e-05,0.000309125071120487,0.032753014379640365,0.033272134383506194,0.5194107476194534,0.5140459155411119,149.72370028479432,149.72574498864216,149.72574498864216
379,3790.0,149.9173076923077,0.0,0.042,3.0762764500000004,2.9619920232440364e-05,0.0003134121653896776,0.03319460356986021,0.033732201710017576,0.514843621811105,0.50933769514181,149.84664457058628,149.8487010949547,149.8487010949547
380,3800.0,150.03846153846155,0.0,0.042,3.0763867,2.9721729473449662e-05,0.00031775164720889077,0.033641106071196386,0.034197879393927426,0.510266509848871,0.5046159733136556,149.96955711661153,149.97162572051784,149.97162572051784
381,3810.0,150.1596153846154,0.0,0.042,3.07649695,2.9823888651983165e-05,0.0003221440648934376,0.03409255612820419,0.034669226016779894,0.5056800496850902,0.4998813441936019,150.0924384655003,150.09451939706463,150.09451939706463
382,3820.0,150.28076923076924,0.0,0.042,3.0766072000000007,2.9926398970842066e-05,0.00032658997144957515,0.03454898774228295,0.03514630065928649,0.5010848881396591,0.4951344123435868,150.21528914919728,150.21738264565548,150.21738264565548
383,3830.0,150.40192307692308,0.0,0.042,3.0767174500000003,3.002926163696181e-05,0.0003310899246044061,0.03501043465735498,0.03562916290478533,0.4964816806546532,0.49037579262156417,150.33810968922893,150.34021597693751,150.34021597693751
384,3840.0,150.52307692307693,0.0,0.042,3.0768277,3.0132477861426138e-05,0.0003356444868358776,0.035476930345391566,0.03611787284209979,0.4918710910370176,0.48560611004938,150.4609005969637,150.46301989139644,150.46301989139644
385,3850.0,150.64423076923077,0.0,0.042,3.07693795,3.0236048859481687e-05,0.00034025422540289563,0.035948507991798447,0.036612491069176564,0.48725379118932727,0.4808259996637054,150.5836623738652,150.5857948796028,150.5857948796028
386,3860.0,150.76538461538462,0.0,0.042,3.0770482000000006,3.033997585055213e-05,0.0003449197123755382,0.03642520048067112,0.037113078696046416,0.4826304608286737,0.476036106364311,150.70639551173784,150.70854142245074,150.70854142245074
387,3870.0,150.88653846153846,0.0,0.042,3.07715845,3.044426005825234e-05,0.0003496415246653844,0.03690704037993435,0.03761969734779423,0.4780017871937142,0.47123708475265824,150.82910049296683,150.83125999139057,150.83125999139057
388,3880.0,151.0076923076923,0.0,0.042,3.0772687000000003,3.054890271040323e-05,0.00035442024405594487,0.0373940599263776,0.03813240916858959,0.4733684647399817,0.46642959895091607,150.9517777907512,150.9539510486568,150.9539510486568
389,3890.0,151.12884615384615,0.0,0.042,3.07737895,3.0653905039045734e-05,0.00035925645723320173,0.037886291010600814,0.038651276823626825,0.46873119482354864,0.46161432243112427,151.0744278693304,151.07661504748717,151.07661504748717
390,3900.0,151.25,0.0,0.042,3.0774892000000005,3.07592682804557e-05,0.00036415075581625235,0.03838376516188488,0.03917636350316278,0.4640906853731762,0.4567919378147573,151.19705118420532,151.19925243233908,151.19925243233908
391,3910.0,151.37115384615385,0.0,0.042,3.0775994500000006,3.086499367515825e-05,0.0003691037363880666,0.0388865135330034,0.03970773292653537,0.4594476505510813,0.4519631366631736,151.31964818235286,151.32186363910063,151.32186363910063
392,3920.0,151.4923076923077,0.0,0.042,3.0777097,3.097108246794248e-05,0.0003741160005263406,0.03939456688498877,0.040245449343435796,0.45480281040252335,0.44712861928326997,151.44221930243538,151.44444909529247,151.44444909529247
393,3930.0,151.61346153846154,0.0,0.042,3.0778199500000003,3.107753590787587e-05,0.0003791881548344654,0.039907955571872725,0.04078957753917458,0.45015689049437335,0.44228909448681375,151.56476497500404,151.5670092202694,151.5670092202694
394,3940.0,151.73461538461538,0.0,0.042,3.0779302,3.118435524831944e-05,0.0003843208109725962,0.0404267095254156,0.04134018283629246,0.44551062154291576,0.43744527937304195,151.68728562269715,151.6895444254131,151.6895444254131
395,3950.0,151.85576923076923,0.0,0.042,3.0780404500000005,3.129154174694197e-05,0.000389514585688832,0.04095085823984436,0.04189733109936223,0.44086473903110956,0.4325978990727907,151.8097816604328,151.8120551143229,151.8120551143229
396,3960.0,151.97692307692307,0.0,0.042,3.0781507,3.13990966657353e-05,0.00039477010085049507,0.04148043075661653,0.0424610887371654,0.43621998281559327,0.42774768650606293,151.93225349559705,151.93454168300005,151.93454168300005
